ประเทศที่ส่งออก,ปริมาณปลาป่น (กก.),มูลค่าปลาป่น (บาท),ปริมาณ อาหารสุนัขและแมว (กก.),มูลค่าอาหารสุนัขและแมว (บาท),ปริมาณอาหารใช้เลี้ยงสัตว์อื่น ๆ (กก.),มูลค่าอาหารใช้เลี้ยงสัตว์อื่น ๆ (บาท),ปริมาณอาหารเสริมสัตว์เลี้ยง (กก.),มูลค่าอาหารเสริมสัตว์เลี้ยง (บาท),ปริมาณพรีมิกซ์ (กก.),มูลค่าพรีมิกซ์ (บาท),ปริมาณอาหารกระป๋องสุนัขและแมว (กก.),มูลค่าอาหารกระป๋องสุนัขและแมว (บาท),ปริมาณDog Chews (กก.),มูลค่าDog Chews (บาท),ปริมาณอาหารสัตว์น้ำ (กก.),มูลค่าอาหารสัตว์น้ำ (บาท),ปริมาณรวมทั้งสิ้น (กก.),มูลค่ารวมทั้งสิ้น (บาท)
สหรัฐอเมริกา,,,"270,949.79","22,155,945.49",,,,,,,"4,306,311.02","524,329,599.30","124,504.61","26,825,776.19","28,840.20","9,910,516.99","4,730,605.62","583,221,837.97"
ญี่ปุ่น,"2,245,000.00","104,147,062.25","6,691,163.79","293,965,685.93","42,054.00","1,438,483.20","85,600.00","12,609,308.77",,,"200,791.09","22,818,052.63","118,313.14","8,713,838.55",637.50,"939,103.84","9,383,559.52","444,631,535.17"
จีน,"7,010,000.00","288,979,990.22","85,070.40","3,645,548.00",,,"108,640.00","7,128,664.00",,,"373,827.04","29,811,866.41",,,"17,943.00","20,560,028.19","7,595,480.44","350,126,096.82"
มาเลเซีย,,,"5,918,662.41","210,753,518.80","60,669.00","2,500,804.87","107,200.00","2,858,200.00",,,"677,981.04","38,356,178.17","61,050.34","4,144,716.89",910.00,"55,212.30","6,826,472.79","258,668,631.03"
อิตาลี,,,,,,,,,,,"1,725,518.13","236,535,256.21","17,830.16","4,140,246.48",,,"1,743,348.29","240,675,502.69"
ออสเตรเลีย,"2,856.00","433,250.85","70,200.00","4,752,448.20",,,"33,800.00","846,064.00",,,"1,857,709.89","152,921,088.73","109,498.90","27,285,699.16",,,"2,074,064.79","186,238,550.94"
อินเดีย,,,"372,873.02","18,137,608.91",72.00,"4,738.80","1,432,733.00","69,497,163.67","1,240,000.00","65,013,343.35",1.36,53.90,,,"86,660.50","14,597,387.01","3,132,339.88","167,250,295.64"
เวียดนาม,"1,840,000.00","93,772,323.85","409,864.28","30,713,726.52","47,488.80","11,100,985.79","1,600.00","96,256.00",,,"5,184.00","226,466.00",,,"3,401.70","4,946,620.49","2,307,538.78","140,856,378.65"
สหราชอาณาจักร,,,,,,,,,,,"703,148.83","113,595,307.20","8,524.00","811,023.97",,,"711,672.83","114,406,331.17"
ไต้หวัน,"141,360.00","5,161,203.20","1,524,762.60","39,958,441.43","18,480.00","680,988.00","80,000.00","2,055,570.00",,,"535,667.80","59,787,242.25","32,756.39","5,987,749.98","1,065.00","731,154.83","2,334,091.79","114,362,349.69"
บังคลาเทศ,"1,260,000.00","51,443,938.00","7,352.30","353,734.50",943.20,"66,990.00","291,004.00","19,529,801.55","167,110.00","21,550,345.23",,,,,"13,104.76","919,642.15","1,739,514.26","93,864,451.43"
อินโดนีเซีย,"480,000.00","18,249,000.00","1,271,553.43","37,405,738.28","19,040.00","494,392.25","227,000.00","10,909,974.00",,,"180,570.24","7,283,873.86",,,"24,680.40","3,947,079.79","2,202,844.07","78,290,058.18"
เยอรมนี,"20,000.00","948,600.00",,,,,,,,,"426,299.40","59,612,435.20","40,022.00","6,848,616.05",,,"486,321.40","67,409,651.25"
เกาหลี,"259,980.00","12,238,080.76","226,685.27","8,284,490.68",,,"237,160.00","19,143,306.60","13,000.00","885,830.00","161,068.85","17,390,472.13","55,339.98","7,542,720.25","3,169.89","1,647,319.67","956,403.99","67,132,220.09"
ฟิลิปปินส์,,,"1,007,069.76","36,316,610.22","50,000.00","1,505,757.39","30,240.00","648,648.00",,,"77,572.00","3,610,806.16","15,889.56","882,688.74","5,090.00","5,480,411.71","1,185,861.32","48,444,922.22"
สเปน,,,,,,,,,,,,,"44,999.00","36,238,677.84",,,"44,999.00","36,238,677.84"
ฮ่องกง,,,"294,228.18","10,661,659.27",840.00,"26,657.70",,,,,"183,909.16","22,935,603.73","2,846.20","390,843.05",745.00,"39,600.00","482,568.54","34,054,363.75"
แคนาดา,,,"20,866.52","7,515,143.94",,,,,,,"213,714.49","22,510,279.05","19,736.20","4,014,038.50",,,"254,317.21","34,039,461.49"
ฝรั่งเศส,,,42.00,"4,800.00",,,97.00,"3,140.00",,,"199,323.66","27,813,259.51","14,348.19","4,658,114.42",,,"213,810.85","32,479,313.93"
สิงคโปร์,,,"95,523.46","3,852,785.24",840.00,"20,460.00",,,,,"238,009.72","21,223,947.02","14,048.10","1,641,668.52","1,880.00","843,444.86","350,301.28","27,582,305.64"
เนเธอร์แลนด์,,,,,,,,,,,"36,091.68","5,717,821.50","220,567.00","21,199,175.43",,,"256,658.68","26,916,996.93"
บราซิล,,,,,,,,,,,,,,,"14,444.00","20,253,459.61","14,444.00","20,253,459.61"
อิหร่าน,,,,,,,,,,,,,,,"350,000.00","13,752,993.08","350,000.00","13,752,993.08"
รัสเซีย,,,"18,097.60","732,601.65",,,,,,,"76,777.92","12,010,707.59",,,,,"94,875.52","12,743,309.24"
เบลเยียม,"20,000.00","948,600.00",,,,,,,,,"20,472.00","3,305,449.57","27,420.00","2,327,351.61","17,432.53","4,628,671.70","85,324.53","11,210,072.88"
นิวซีแลนด์,,,"35,700.00","1,884,842.24",,,"16,800.00","514,000.00",,,"49,745.43","7,014,979.19","7,243.00","1,075,000.00",,,"109,488.43","10,488,821.43"
กรีซ,,,,,,,,,,,"10,560.00","1,626,098.00",,,"19,721.00","8,649,862.46","30,281.00","10,275,960.46"
อิสราเอล,,,"28,715.80","2,297,220.36",360.00,"13,365.00",,,,,"51,486.70","4,784,124.03","15,005.50","3,082,176.55",,,"95,568.00","10,176,885.94"
สวีเดน,,,,,,,,,,,"92,112.00","9,169,812.00",,,,,"92,112.00","9,169,812.00"
สหรัฐอาหรับเอมิเรตส์,,,"95,042.72","4,013,810.16",,,,,,,"28,729.60","2,629,115.86",84.00,"2,640.00",200.00,"102,273.25","124,056.32","6,747,839.27"
ซาอุดิอาระเบีย,,,"139,505.36","6,128,796.32",,,,,,,,,,,,,"139,505.36","6,128,796.32"
บรูไน,,,"98,622.60","4,146,913.65","2,000.00","61,504.00",,,,,"16,134.00","562,484.84",,,40.60,"67,393.52","116,797.20","4,838,296.01"
แอฟริกาใต้,,,"18,800.00","695,171.34",,,,,,,"16,416.00","585,156.70","12,360.26","1,657,524.00",,,"47,576.26","2,937,852.04"
เดนมาร์ก,,,,,,,,,,,,,"15,137.00","2,783,676.00",,,"15,137.00","2,783,676.00"
ศรีลังกา,"66,000.00","1,090,980.00","32,921.30","1,404,556.19",,,,,,,,,,,,,"98,921.30","2,495,536.19"
ปากีสถาน,,,"45,129.60","1,927,637.25",168.00,"18,183.00",,,,,,,,,"3,482.80","235,983.00","48,780.40","2,181,803.25"
ฟินแลนด์,,,,,,,,,,,"10,742.56","1,900,245.88",,,,,"10,742.56","1,900,245.88"
ฮังการี,"40,000.00","1,748,400.00",,,,,,,,,,,,,,,"40,000.00","1,748,400.00"
มอลตา,,,,,,,,,,,"8,640.00","1,562,587.20",,,,,"8,640.00","1,562,587.20"
โรมาเนีย,,,,,,,,,,,,,"8,712.50","1,394,033.60",,,"8,712.50","1,394,033.60"
คูเวต,,,,,,,,,,,"13,568.25","1,113,885.36",,,,,"13,568.25","1,113,885.36"
ตุรกี,,,,,,,,,,,,,,,"6,095.00","1,096,042.09","6,095.00","1,096,042.09"
บาห์เรน,,,"21,704.80","904,124.10","1,000.00","3,135.00",,,,,"4,128.00","168,327.65",,,,,"26,832.80","1,075,586.75"
คาซัคสถาน,,,"16,777.80","774,468.75",,,,,,,,,,,347.36,"111,823.01","17,125.16","886,291.76"
แม็กซิโก,,,,,,,,,,,,,"2,921.00","664,460.00",179.00,"85,283.76","3,100.00","749,743.76"
อียิปต์,,,,,,,,,,,"6,289.92","504,495.60",,,,,"6,289.92","504,495.60"
พม่า,,,"12,000.00","483,000.00",,,,,,,,,,,,,"12,000.00","483,000.00"
มอริเซียส,,,,,,,,,,,,,,,"6,253.20","427,564.50","6,253.20","427,564.50"
เรอูนียง,,,,,,,,,,,"2,031.84","106,062.04",,,,,"2,031.84","106,062.04"
มาดากัสการ์,,,,,,,,,,,,,,,100.00,"55,554.62",100.00,"55,554.62"
กัมพูชา,,,,,,,,,,,123.00,154.00,,,,,123.00,154.00
สาธารณรัฐเช็ก,,,0.60,132.89,,,,,,,,,,,,,0.60,132.89
นิวแคลิโดเนีย,,,,,,,0.50,32.00,,,,,,,,,0.50,32.00
